Sno,Project Name ,Location ,City ,Google Map link,Acres of the property ,Near By Locations,Configeration of the properties ,Stating Rate Per Sq ft,Budget Range ,RERA Number ,Amenities and a Brief Description ,PDF Brouchure ,Website Link
23,Majestica,Manappakam,Chennai,https://maps.app.goo.gl/3MhbmziWfdhifN6E7,11.8 Acres,"Manapakkam,Ramapuram,
Porur,Valasaravakkam,Alandhur","2BHK , 3BHK , 4BHK",₹ 6299/ Sqft,₹1.25 to ₹1.79 Cr,TN/29/Building/192/2023,"Kids' centric community with 640+ spacious units on 12 acres
 7 acres open space with every block designed to have central green landscapes
 ⁠Basement car parking for complete vehicle free community 
 90+ world-class amenities and 32000 sqft clubhouse",https://www.casagrand.co.in/wp-content/uploads/2023/05/Majestica-Broucher-finished_compressed-1.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-manapakkam/casagrand-majestica/
24,Cloud9,Sholinganallur,Chennai,https://maps.app.goo.gl/ShMQ5kZSHrydQFJ76,4.87 acres,"Sholinganallur, Perungudi,Navalur,Meadavakkam, Pallikaranai,Adyar,Palavakkam,Nellankarai,Akkarai",4 BHK,₹ 6699 / Sqft,₹1.69 Cr onwards,TN/29/Building/0184/2023,"16400 sqft grand clubhouse, 26,500 sqft centralized landscaped podium,  70+ world-class amenities like a barbeque zone, outdoor gym, pets park, swimming pool with floor water jets, reflexology walkway & more",https://www.casagrand.co.in/wp-content/uploads/2023/09/CG_-Cloud9-Brochure-_-Artwork-Jul-24_compressed.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-sholinganallur/casagrand-cloud9/
25,Jarvis,Siruseri,Chennai,https://maps.app.goo.gl/19K5qiWHkgjQEEJ99,8.5Acre,"""Siruseri,Navalur,,Thalambur,
Pudupakkam,,Semmanchery,
Kelambakkam,Sholinganallur,
Mambakkam""","2BHK, 3BHK, 4BHK",Rs 6500 Sqft,58L to 1.10CR,TN/35/Building/0107/2025,"""8700 sqft Swimming Pool with Aqua Gym, Kids Pool with slide, 
 Sky Cinema, Rooftop co-work, Rooftop Café & BBQ, Themed gardens, 
 Banquet Hall overlooks Party Lawn, Car charging bay Carwash bay, 
 Convenio Store, etc. Distinguished amenities include – 
 Mini-woodland, Camping grounds, cross-net volleyball, etc.""
",https://www.casagrand.co.in/wp-content/uploads/2025/04/Jarvis-Brochure_A4_Print-file-1_compressed.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai/casagrand-jarvis/
26,Firstcity,Sholinganallur,Chennai,https://maps.app.goo.gl/cePXhEZzTwia2KBb9,15 acres,"Perumbakkam, OMR, Medavakkam, Navalur, ECR, Karapakkam, Thuraipakkam",2 BHK,Rs 4899 Sqft,60L - 69L,TN/01/Layout/0001/2017,"100+ World class amenities
Clubhouse of 1.5 Acres Built-up area
Perumbakkam, Sholinganallur current best location in Chennai
Elegantly crafted 1693 apartments spread across a sprawling 15 acres expanse
5 acres of lush greenery
Inspired by grand Roman architecture",https://www.casagrand.co.in/wp-content/uploads/2023/02/First-City-E-brochure-20-years.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-sholinganallur/casagrand-firstcity/
29,Aria,Tambaram - Mudichur,Chennai,https://maps.app.goo.gl/NnFeSWM65oR2gZN88,4 acers,"Tambaram, Padappai, Vandalur,
Manivakkam, Chrompet, Guduvancherry	",2BHK,Rs 4249 / sqft,52Lto 53L,TN/01/BUILDING/0497/2022,"85+ lifestyle amenities & features like a roof-top swimming pool, work pods, convenio store, video games corner, gym, mini theatre, cafeteria, amphitheater & many more
Offers a 17000 sq. ft stylish Clubhouse with plenty of indoor & terrace amenities
30000 sq. ft landscaped areas fi ample light, ventilation & recreational activities
 Secured apartment community with a vehicle-free podium
Basement + Stilt + 19 floors building design structure",https://www.casagrand.co.in/wp-content/uploads/2023/02/Casagrand-Aria-Brochure_Lowres-1.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-tambaram/casagrand-aria/
30,HolaChennai,Sholinganallur,Chennai,https://maps.app.goo.gl/oeLdX69hgEF9sMMC8,30 acers,"Perumbakkam, OMR, Medavakkam, Navalur, ECR, Karapakkam, Thuraipakkam","2BHK, 3BHK, 4BHK & 4BHK Floor Villa",₹ 5725 / Sqft,75Lto 2.47Cr,TN/29/Building/0352/2024,"Exquisite Contemporary Community – 1818 elegantly designed homes featuring premium 2, 3 & 4 BHK apartments, signature 4 BHK villas, and floor villas, spread across 30 acres in Sholinganallur.The township offers 160+ world-class amenities with exclusively designed 2 swimming pools (size 26,200 sqft) with ample poolside amenities. 23 acres of lush greenery designed for maximum light & ventilation. 8 acres of vehicle-free landscaped podiums, perfect for outdoor leisure and recreation. Strategically positioned near major IT hubs, ensuring seamless connectivity.",https://www.casagrand.co.in/wp-content/uploads/2025/04/Hola-Chennai-Brochure-Luxury.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-sholinganallur/casagrand-hola-chennai/
31,OSAKA,Iyyappanthangal,Chennai,https://maps.app.goo.gl/sAPUDfFCD81iGxaH7,"6.8 Acres
","Porur, Guindy, Poonamallee, Pammal, Pallavaram, Kundrathur ","3BHK, 4BHK",₹ 5149 / Sqft,80L to 1.39Cr,TN/1/Building/0243/2025,"Nestled in Porur, Casagrand Osaka offers a harmonious blend of modern architecture and traditional Japanese aesthetics, creating a sanctuary of peace and balance. Spread across 6.8 acres, this thoughtfully planned community offers spacious residences, each crafted to reflect the calming principles of zen living. Casagrand Osaka is more than just a residence; it’s a lifestyle choice that embraces the serenity and simplicity of zen philosophy, offering a peaceful haven amidst the bustling city.",https://www.casagrand.co.in/wp-content/uploads/2025/07/Osaka-Brochure_Low-res.pdf,https://www.casagrand.co.in/residential/ongoing-projects-iyyapanthangal/casagrand-osaka/
32,Caladium,Wagholi,Pune,https://maps.app.goo.gl/EBXJeUn4B1XLydbe6,2.8 Acres,"Located in Upper Kharadi, Pune",2 BHK and 3 BHK,Nil,1.2Cr to 1.5 Cr,RERA number - P52100080302," Discover a landmark lifestyle at Upper Kharadi — an exclusive Singapore-styled apartment community spread across 2.8 acres. Designed with global sensibilities, this beautifully planned enclave features 334 premium 2 & 3 BHK residences that seamlessly blend urban sophistication with the calm elegance of nature.",https://www.casagrand.co.in/wp-content/uploads/2025/05/Caladium-Brochure-Low.pdf,https://www.casagrand.co.in/residential/ongoing-projects-pune/casagrand-caladium/
,,,,,,,,,,,,,
,,,,,,,,,,,,,
